Link,Цена,Пешком до метро,Станция метро,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Санузел,Балкон/лоджия,Ремонт,Год постройки,Строительная серия,Тип дома,Районы,Округа,В квартире есть,Залог,Срок аренды,Апартаменты,Кол-во комнат
https://www.cian.ru/rent/flat/292768970/,120000.0,10.0,Чертановская,72.0,40.0,13.0,2.8,1.0,4.0,Дизайнерский,2021.0,Индивидуальный проект,Монолитный,Чертаново Центральное,ЮАО,"['Холодильник', 'Посудомоечная машина', 'Стиральная машина', 'Кондиционер', 'Телевизор', 'Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",120000,от года,0,2
https://www.cian.ru/rent/flat/301615755/,128000.0,2.0,Смоленская,71.0,46.0,20.0,2.7,1.0,1.0,Евроремонт,1949.0,Индивидуальный проект,Кирпичный,'р-н Арбат',ЦАО,"['Посудомоечная машина', 'Стиральная машина', 'Ванна', ""Душевая кабина']""]",128000,от года,0,2
https://www.cian.ru/rent/flat/301881338/,120000.0,16.0,Фили,60.0,21.0,9.0,3.0,1.0,0.0,Дизайнерский,2015.0,Индивидуальный проект,Монолитный,Фили-Давыдково,ЗАО,"['Холодильник', 'Посудомоечная машина', 'Стиральная машина', 'Кондиционер', 'Телевизор', 'Интернет', 'Ванна', 'Душевая кабина', 'Мебель на кухне', ""Мебель в комнатах']""]",120000,от года,1,2
https://www.cian.ru/rent/flat/301545446/,170000.0,5.0,Университет,76.0,50.0,10.0,3.0,1.0,1.0,Дизайнерский,2010.0,Индивидуальный проект,Кирпичный,'р-н Раменки',ЗАО,"['Холодильник', 'Посудомоечная машина', 'Стиральная машина', 'Кондиционер', 'Телевизор', 'Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",170000,от года,0,2
https://www.cian.ru/rent/flat/301812446/,65000.0,3.0,Ломоносовский проспект,32.0,21.0,5.5,2.64,1.0,1.0,Евроремонт,1961.0,II-18,Блочный,Ломоносовский район,ЮЗАО,"['Холодильник', 'Стиральная машина', 'Интернет', 'Душевая кабина', 'Мебель на кухне', ""Мебель в комнатах']""]",70000,от года,0,1
https://www.cian.ru/rent/flat/301868301/,30000.0,4.0,Сходненская,25.0,17.0,9.0,2.6,1.0,0.0,Косметический,1964.0,Индивидуальный проект,Монолитный,Сходненское,СЗАО,"['Холодильник', 'Стиральная машина', 'Кондиционер', 'Интернет', 'Ванна', ""Мебель на кухне']""]",30000,несколько месяцев,0,студия
https://www.cian.ru/rent/flat/301914651/,32000.0,7.0,Щёлковская,35.0,21.0,6.0,2.7,1.0,0.0,Косметический,1959.0,Индивидуальный проект,Кирпичный,Измайлово,ВАО,"['Холодильник', 'Стиральная машина', 'Телевизор', 'Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",32000,от года,0,1
https://www.cian.ru/rent/flat/302112505/,33000.0,19.0,Аэропорт Внуково,23.0,21.0,9.0,2.8,1.0,0.0,Евроремонт,2023.0,Индивидуальный проект,Панельный,Раменки,ЗАО,"['Холодильник', 'Посудомоечная машина', 'Стиральная машина', 'Телевизор', 'Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",33000,от года,0,студия
https://www.cian.ru/rent/flat/301866011/,34000.0,12.0,Физтех,34.0,16.0,7.0,2.8,1.0,1.0,Косметический,2016.0,Индивидуальный проект,Панельный,Басманный район,ЦАО,"['Холодильник', 'Стиральная машина', 'Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",34000,от года,0,1
https://www.cian.ru/rent/flat/295998687/,35000.0,5.0,Царицыно,36.0,20.0,7.0,2.48,1.0,0.0,Косметический,1973.0,ii-68,Панельный,Царицыно,ЮАО,"['Холодильник', 'Стиральная машина', 'Телевизор', 'Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",35000,от года,0,1
