Link,Цена,Пешком до метро,Станция метро,Адрес,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Санузел,Балкон/лоджия,Ремонт,Год постройки,Строительная серия,Тип дома,Аварийность,доп инфа
https://www.cian.ru/rent/flat/301888137/,65000,15 мин.,Бульвар Рокоссовского,"['Москва', 'Тагильская ул.', '4А']",45,25,10,3 м,1 совмещенный,1 лоджия,Евроремонт,2021,Индивидуальный проект,,Нет,"Сдается 2-комн. квартира, 45 м²"
https://www.cian.ru/rent/flat/301951602/,103600,17 мин.,Рабочий посёлок,"['Москва', 'ЗАО', 'р-н Можайский', 'Рябиновая ул.', '3к3']",62,36,10,"2,7 м",1 раздельный,,Евроремонт,2019,Индивидуальный проект,Монолитный,Нет,"Сдается 2-комн. квартира, 62 м²"
https://www.cian.ru/rent/flat/301347009/,300000,6 мин.,Деловой центр,"['Москва', 'ЦАО', 'р-н Пресненский', '1-й Красногвардейский проезд', '22с2']",96,,,"3,9 м",2 совмещенных,,Дизайнерский,2020,,Монолитный,Нет,"Сдается 2-комн. апартаменты, 96 м²"
https://www.cian.ru/rent/flat/302060169/,75000,8 мин.,Тульская,"['Москва', 'ул. Серпуховский Вал', '6']",55,40,8,"2,48 м",1 раздельный,1 лоджия,Евроремонт,1974,,Панельный,Нет,"Сдается 2-комн. квартира, 55 м²"
https://www.cian.ru/rent/flat/298489784/,220000,3 мин.,Тургеневская,"['Москва', 'ЦАО', 'р-н Басманный', 'Мясницкая ул.', '24/7С3']",70,35,14,3 м,2 совмещенных,,Евроремонт,2014,,Монолитный,Нет,"Сдается 2-комн. апартаменты, 70 м²"
https://www.cian.ru/rent/flat/301006947/,250000,10 мин.,Ломоносовский проспект,"['Москва', 'Мосфильмовская ул.', '74Б']",70,50,10,3 м,2 раздельных,,Дизайнерский,2017,,Монолитный,Нет,"Сдается 2-комн. апартаменты, 70 м²"
https://www.cian.ru/rent/flat/302016816/,60000,10 мин.,Текстильщики,"['Москва', 'Грайвороновская ул.', '6С1']",25,18,3,,1 совмещенный,,Евроремонт,,,,,"Сдается 1-комн. квартира, 25 м²"
https://www.cian.ru/rent/flat/300946117/,280000,11 мин.,Новокузнецкая,"['Москва', 'ЦАО', 'р-н Якиманка', 'Софийская наб.', '34']",55,34,12,"3,1 м",1 совмещенный,,Евроремонт,,,,,"Сдается 1-комн. апартаменты, 55 м²"
https://www.cian.ru/rent/flat/299744104/,210000,3 мин.,Тургеневская,"['Москва', 'ЦАО', 'р-н Басманный', 'Мясницкая ул.', '24/7С3']",69,50,8,,,,Дизайнерский,2014,,Монолитный,Нет,"Сдается 2-комн. апартаменты, 69 м²"
https://www.cian.ru/rent/flat/300738067/,28000,13 мин.,Бунинская аллея,"['Москва', 'НАО (Новомосковский)', 'Рязановское поселение', 'ул. Логинова', '5к2']",25,,3,"2,8 м",1 совмещенный,1 лоджия,Евроремонт,2022,Индивидуальный проект,Блочный,Нет,"Сдается 1-комн. квартира, 25 м²"
https://www.cian.ru/rent/flat/285274355/,ID,1 мин.,Охотный ряд,"['Москва', 'ЦАО', 'р-н Тверской', 'ул. Охотный Ряд', '2']",171,,,,"1 совмещенный, 1 раздельный",,Дизайнерский,2015,,Монолитный,Нет,"Сдается 2-комн. апартаменты, 171 м²"
https://www.cian.ru/rent/flat/273526190/,ID,1 мин.,Охотный ряд,"['Москва', 'ЦАО', 'р-н Тверской', 'ул. Охотный Ряд', '2']",112,,,,"1 совмещенный, 1 раздельный",1 балкон,Дизайнерский,2015,,Монолитный,Нет,"Сдается 2-комн. апартаменты, 112 м²"
https://www.cian.ru/rent/flat/301972466/,35000,6 мин.,Окская,"['Москва', 'ул. Федора Полетаева', '2К1']",32,"17,4",6,"2,64 м",1 совмещенный,1 лоджия,Косметический,1963,,Кирпичный,Нет,"Сдается 1-комн. квартира, 32 м²"
https://www.cian.ru/rent/flat/300328533/,250000,10 мин.,Ломоносовский проспект,"['Москва', 'ЗАО', 'р-н Раменки', 'Мосфильмовская ул.', '74Б']",70,50,10,,2 раздельных,,Дизайнерский,2017,,Монолитный,Нет,"Сдается 2-комн. апартаменты, 70 м²"
https://www.cian.ru/rent/flat/300300963/,320000,6 мин.,Деловой центр,"['Москва', 'ЦАО', 'р-н Пресненский', '1-й Красногвардейский проезд', '22с2']",78,60,,,"1 совмещенный, 1 раздельный",,Дизайнерский,2020,,Монолитный,Нет,"Сдается 2-комн. апартаменты, 78 м²"
https://www.cian.ru/rent/flat/302008462/,40000,6 мин.,Бабушкинская,"['Москва', 'ул. Летчика Бабушкина', '31']",45,18,6,"2,64 м",1 раздельный,1 лоджия,Косметический,1971,II-49,Панельный,Нет,"Сдается 1-комн. квартира, 45 м²"
https://www.cian.ru/rent/flat/300023188/,540000,6 мин.,Парк Культуры,"['Москва', 'ЦАО', 'р-н Хамовники', 'пер. Хилков', '1']",76,50,5,,2 совмещенных,1 лоджия,Дизайнерский,2009,,Кирпичный,Нет,"Сдается 2-комн. квартира, 76 м²"
